short_name,full_name
Iron,Iron-deficiency anemia
Oth Nutr,Other nutritional deficiencies
Syphilis,Syphilis
Chlamydia,Sexually transmitted chlamydial diseases
Gonnorhea,Gonococcal infection
Tricho,Trichomoniasis
Oth STD,Other sexually transmitted diseases
Hep A,Acute hepatitis A
Hep B,Acute hepatitis B
Hep C,Acute hepatitis C
Hep E,Acute hepatitis E
Leprosy,Leprosy
Oth Inf,Other infectious diseases
Esophagus,Esophageal cancer
Stomach,Stomach cancer
Liver-HepB,Liver cancer secondary to hepatitis B
Liver-HepC,Liver cancer secondary to hepatitis C
Liver-Alcohol,Liver cancer secondary to alcohol use
Liver-Other,Other liver cancer
Larynx,Larynx cancer
Lung,"Trachea, bronchus, and lung cancers"
Breast,Breast cancer
Cervix,Cervical cancer
Uterus,Uterine cancer
Prostate,Prostate cancer
Colorectal,Colon and rectum cancers
Mouth,Mouth cancer
Naso,Nasopharynx cancer
Oth Pharynx,Cancer of other part of pharynx and oropharynx
Gallbladder,Gallbladder and biliary tract cancer
Pancreas,Pancreatic cancer
Melanoma,Malignant melanoma of skin
NMSC,Non-melanoma skin cancer
Ovary,Ovarian cancer
Testis,Testicular cancer
Kidney,Kidney and other urinary organ cancers
Bladder,Bladder cancer
Brain,Brain and nervous system cancers
Thyroid,Thyroid cancer
Hodgkin's,Hodgkin's disease
Lymphoma,Non-Hodgkin lymphoma
Myeloma,Multiple myeloma
Leukemia,Leukemia
Oth Neoplasm,Other neoplasms
Rheum HD,Rheumatic heart disease
IHD,Ischemic heart disease
Isch Stroke,Ischemic stroke
Hem Stroke,Hemorrhagic and other non-ischemic stroke
HTN Heart,Hypertensive heart disease
CMP,Cardiomyopathy and myocarditis
AFib,Atrial fibrillation and flutter
AA,Aortic aneurysm
PVD,Peripheral vascular disease
Endocarditis,Endocarditis
Oth Circ,Other cardiovascular and circulatory diseases
COPD,Chronic obstructive pulmonary disease
P-coniosis,Pneumoconiosis
Asthma,Asthma
Int Lung,Interstitial lung disease and pulmonary sarcoidosis
Oth Resp,Other chronic respiratory diseases
Cirrhosis-HepB,Cirrhosis of the liver secondary to hepatitis B
Cirrhosis-HepC,Cirrhosis of the liver secondary to hepatitis C
Cirrhosis-Alcohol,Cirrhosis of the liver secondary to alcohol use
Cirrhosis-Other,Other cirrhosis of the liver
PUD,Peptic ulcer disease
Gastrititis,Gastritis and duodenitis
Appendicitis,Appendicitis
Ileus,Paralytic ileus and intestinal obstruction without hernia
I+F Hernia,Inguinal or femoral hernia
IBD,Non-infective inflammatory bowel disease
Vasc Intest,Vascular disorders of intestine
Gall+Bile,Gall bladder and bile duct disease
Pancreatitis,Pancreatitis
Oth Diges,Other digestive diseases
Alzh,Alzheimer's disease and other dementias
Parkins,Parkinson's disease
Epilepsy,Epilepsy
MS,Multiple sclerosis
Migraine,Migraine
Headache,Tension-type headache
Oth Neuro,Other neurological disorders
Schizo,Schizophrenia
Alcohol,Alcohol use disorders
Opioids,Opioid use disorders
Cocaine,Cocaine use disorders
Amphet,Amphetamine use disorders
Cannabis,Cannabis use disorders
Oth Drug,Other drug use disorders
MDD,Major depressive disorder
Dysthymia,Dysthymia
Bipolar,Bipolar affective disorder
Anxiety,Anxiety disorders
Eat Disorder,Eating disorders
Autism,Autism
Asperger,Asperger's syndrome
ADHD,Attention-deficit hyperactivity disorder
Conduct,Conduct disorder
Intellect,Idiopathic intellectual disability
Oth Mental,Other mental and behavioral disorders
Diabetes,Diabetes mellitus
Glom,Acute glomerulonephritis
Diab CKD,Chronic kidney disease due to diabetes mellitus
HTN CKD,Chronic kidney disease due to hypertension
Oth CKD,Chronic kidney disease unspecified
Nephritis,"Tubulointerstitial nephritis, pyelonephritis, and urinary tract infections"
Urolith,Urolithiasis
BPH,Benign prostatic hyperplasia
Infertility-Mal,Male infertility
Oth Urin,Other urinary diseases
Fibroids,Uterine fibroids
PCO,Polycystic ovarian syndrome
Infertility-Fem,Female infertility
Endometr,Endometriosis
Prolapse,Genital prolapse
PMS,Premenstrual syndrome
Oth Gynecol,Other gynecological diseases
Thalass,Thalassemias
Sickle,Sickle cell disorders
G6PD,G6PD deficiency
Oth Hemog,Other hemoglobinopathies and hemolytic anemias
Oth Endo,"Other endocrine, nutritional, blood, and immune disorders"
R Arthritis,Rheumatoid arthritis
Osteo,Osteoarthritis
Low Back Pain,Low back pain
Neck Pain,Neck pain
Gout,Gout
Oth Musculo,Other musculoskeletal disorders
NTD,Neural tube defects
C Heart,Congenital heart anomalies
Cleft,Cleft lip and cleft palate
Down's,Down's syndrome
Oth Chromo,Other chromosomal abnormalities
Oth Congen,Other congenital anomalies
Eczema,Eczema
Psoriasis,Psoriasis
Cellulitis,Cellulitis
Skin Bacterial,"Abscess, impetigo, and other bacterial skin diseases"
Scabies,Scabies
Skin Fungal,Fungal skin diseases
Skin Viral,Viral skin diseases
Acne,Acne vulgaris
Alopecia,Alopecia areata
Pruritus,Pruritus
Urticaria,Urticaria
Decubitus,Decubitus ulcer
Oth Skin D,Other skin and subcutaneous diseases
Glaucoma,Glaucoma
Cataract,Cataracts
Macular,Macular degeneration
Refraction,Refraction and accommodation disorders
Hearing,Other hearing loss
Oth Vision,Other vision loss
Oth Sense,Other sense organ diseases
D Caries,Dental caries
Periodontal,Periodontal disease
Edent,Edentulism
SIDS,Sudden infant death syndrome
Pedestrian,Pedestrian injury by road vehicle
Bicycle,Pedal cycle vehicle
2-Wheel,Motorized vehicle with two wheels
4-Wheel,Motorized vehicle with three or more wheels
Oth Road Inj,Road injury other
Oth Trans,Other transport injury
Fall,Falls
Drown,Drowning
Fire,"Fire, heat and hot substances"
Poison,Poisonings
Mech Firearm,Mechanical forces (firearm)
Oth Mech,Mechanical forces (other)
Med Treat,Adverse effects of medical treatment
Animal (Venom),Animal contact (venomous)
Animal (Non),Animal contact (non-venomous)
Oth Unintent,Unintentional injuries not classified elsewhere
Self-harm,Self-harm
V Gun,Assault by firearm
V Knife,Assault by sharp object
Oth Violence,Assault by other means
Disaster,Exposure to forces of nature
War,Collective violence and legal intervention
cause_name,Cause Name
cause_medium,Medium Cause Name
cause_short,Short Cause Name
region_name,Region Name
year,Year
age_name,Age Group
sex_name,Sex
death_abs,Number of Deaths
death_abs_ui,Number of Deaths - 95% Uncertainty Interval
death_pct,Death Percent of All Causes
death_pct_ui,Death Percent of All Causes - 95% Uncertainty Interval
death_rate,"Death Rate Per 100,000"
death_rate_ui,"Death Rate Per 100,000 - 95% Uncertainty Interval"
YLL_abs,Number of Years of Life Lost (YLL)
YLL_abs_ui,Number of Years of Life Lost (YLL) - 95% Uncertainty Interval
YLL_pct,Years of Life Lost (YLL) Percent of All Causes
YLL_pct_ui,Years of Life Lost (YLL) Percent of All Causes - 95% Uncertainty Interval
YLL_rate,"YLL Rate Per 100,000"
YLL_rate_ui,"Years of Life Lost (YLL) Rate Per 100,000 - 95% Uncertainty Interval"
YLD_abs,Number of Years Lived with Disability (YLD)
YLD_abs_ui,Number of Years Lived with Disability (YLD) - 95% Uncertainty Interval
YLD_pct,Years Lived with Disability (YLD) Percent of All Causes
YLD_pct_ui,Years Lived with Disability (YLD) Percent of All Causes - 95% Uncertainty Interval
YLD_rate,"YLD Rate Per 100,000"
YLD_rate_ui,"Years Lived with Disability (YLD) Rate Per 100,000 - 95% Uncertainty Interval"
DALY_abs,Number of Disability Adjusted Life Years (DALY)
DALY_abs_ui,Number of Disability Adjusted Life Years (DALY) - 95% Uncertainty Interval
DALY_pct,Disability Adjusted Life Years (DALY) Percent of All Causes
DALY_pct_ui,Disability Adjusted Life Years (DALY) Percent of All Causes - 95% Uncertainty Interval
DALY_rate,"DALY Rate Per 100,000"
DALY_rate_ui,"Disability Adjusted Life Years (DALY) Rate Per 100,000 - 95% Uncertainty Interval"
B,Both
M,Male
F,Female
90,1990
5,2005
10,2010
Both,B
Male,M
Female,F
1990,90
2005,5
2010,10
DALY,Disability Adjusted Life Years
YLD,Years Lived with Disability
YLL,Years of Life Lost
0-6 days,0D
7-27 days,7D
28-364 days,28D
1-4 years,1Y
5-9 years,5Y
10-14 years,10Y
15-19 years,15Y
20-24 years,20Y
25-29 years,25Y
30-34 years,30Y
35-39 years,35Y
40-44 years,40Y
45-49 years,45Y
50-54 years,50Y
55-59 years,55Y
60-64 years,60Y
65-69 years,65Y
70-74 years,70Y
75-79 years,75Y
80+ years,80Y
All ages,ALL
Global,GLB
Andean Latin America,ALA
Australasia,AUA
Caribbean,CAR
Central Asia,CAS
Central Europe,CEU
Central Latin America,CLA
Central sub-Saharan Africa,CSA
East Asia,EAS
Eastern Europe,EEU
Eastern sub-Saharan Africa,ESA
High-income Asia Pacific,HAP
High-income North America,HNA
North Africa and Middle East,NAM
Oceania,OCA
South Asia,SAS
Southeast Asia,SEA
Southern Latin America,SLA
Southern sub-Saharan Africa,SSA
Tropical Latin America,TLA
Western Europe,WEU
Western sub-Saharan Africa,WSA
Tuberculosis,TB
HIV disease resulting in mycobacterial infection,HIV-TB
HIV disease resulting in other specified or unspecified diseases,Other HIV
Cholera,Cholera
Other salmonella infections,Salmonella
Shigellosis,Shigellosis
Enteropathogenic E coli infection,EPEC
Enterotoxigenic E coli infection,ETEC
Campylobacter enteritis,Campylo
Amoebiasis,Amoebiasis
Cryptosporidiosis,Crypto
Rotaviral enteritis,Rotavirus
Other diarrheal diseases,Oth Diarr
Typhoid and paratyphoid fevers,Typhoid
Influenza,LRI-Flu
Pneumococcal pneumonia,LRI-Pneum
H influenzae type B pneumonia,LRI-HiB
Respiratory syncytial virus pneumonia,LRI-RSV
Other lower respiratory infections,Oth LRI
Upper respiratory infections,URI
Otitis media,Otitis
Pneumococcal meningitis,Mng-Pneum
H influenzae type B meningitis,Mng-HiB
Meningococcal infection,Mng-Mening
Other meningitis,Oth Mng
Encephalitis,Enceph
Diphtheria,Diptheria
Whooping cough,Whooping
Tetanus,Tetanus
Measles,Measles
Varicella,Varicella
Malaria,Malaria
Chagas disease,Chagas
Leishmaniasis,Leish
African trypanosomiasis,Afr Tryp
Schistosomiasis,Schisto
Cysticercosis,Cysticer
Echinococcosis,Echino
Lymphatic filariasis,LF
Onchocerciasis,Oncho
Trachoma,Trachoma
Dengue,Dengue
Yellow fever,Yellow F
Rabies,Rabies
Ascariasis,Ascar
Trichuriasis,Trichur
Hookworm disease,Hookworm
Food-borne trematodiases,FBT
Other neglected tropical diseases,Oth NTD
Maternal hemorrhage,M Hem
Maternal sepsis,M Sepsis
Hypertensive disorders of pregnancy,M HTN
Obstructed labor,Obs Labor
Abortion,Abortion
Other maternal disorders,Oth M
Preterm birth complications,Preterm
Neonatal encephalopathy (birth asphyxia and birth trauma),N Enceph
Sepsis and other infectious disorders of the newborn baby,N Sepsis
Other neonatal disorders,Oth Neo
Protein-energy malnutrition,PEM
Iodine deficiency,Iodine
Vitamin A deficiency,Vit A
Iron-deficiency anemia,Iron
Other nutritional deficiencies,Oth Nutr
Syphilis,Syphilis
Sexually transmitted chlamydial diseases,Chlamydia
Gonococcal infection,Gonnorhea
Trichomoniasis,Tricho
Other sexually transmitted diseases,Oth STD
Acute hepatitis A,Hep A
Acute hepatitis B,Hep B
Acute hepatitis C,Hep C
Acute hepatitis E,Hep E
Leprosy,Leprosy
Other infectious diseases,Oth Inf
Esophageal cancer,Esophagus
Stomach cancer,Stomach
Liver cancer secondary to hepatitis B,Liver-HepB
Liver cancer secondary to hepatitis C,Liver-HepC
Liver cancer secondary to alcohol use,Liver-Alcohol
Other liver cancer,Liver-Other
Larynx cancer,Larynx
"Trachea, bronchus, and lung cancers",Lung
Breast cancer,Breast
Cervical cancer,Cervix
Uterine cancer,Uterus
Prostate cancer,Prostate
Colon and rectum cancers,Colorectal
Mouth cancer,Mouth
Nasopharynx cancer,Naso
Cancer of other part of pharynx and oropharynx,Oth Pharynx
Gallbladder and biliary tract cancer,Gallbladder
Pancreatic cancer,Pancreas
Malignant melanoma of skin,Melanoma
Non-melanoma skin cancer,NMSC
Ovarian cancer,Ovary
Testicular cancer,Testis
Kidney and other urinary organ cancers,Kidney
Bladder cancer,Bladder
Brain and nervous system cancers,Brain
Thyroid cancer,Thyroid
Hodgkin's disease,Hodgkin's
Non-Hodgkin lymphoma,Lymphoma
Multiple myeloma,Myeloma
Leukemia,Leukemia
Other neoplasms,Oth Neoplasm
Rheumatic heart disease,Rheum HD
Ischemic heart disease,IHD
Ischemic stroke,Isch Stroke
Hemorrhagic and other non-ischemic stroke,Hem Stroke
Hypertensive heart disease,HTN Heart
Cardiomyopathy and myocarditis,CMP
Atrial fibrillation and flutter,AFib
Aortic aneurysm,AA
Peripheral vascular disease,PVD
Endocarditis,Endocarditis
Other cardiovascular and circulatory diseases,Oth Circ
Chronic obstructive pulmonary disease,COPD
Pneumoconiosis,P-coniosis
Asthma,Asthma
Interstitial lung disease and pulmonary sarcoidosis,Int Lung
Other chronic respiratory diseases,Oth Resp
Cirrhosis of the liver secondary to hepatitis B,Cirrhosis-HepB
Cirrhosis of the liver secondary to hepatitis C,Cirrhosis-HepC
Cirrhosis of the liver secondary to alcohol use,Cirrhosis-Alcohol
Other cirrhosis of the liver,Cirrhosis-Other
Peptic ulcer disease,PUD
Gastritis and duodenitis,Gastrititis
Appendicitis,Appendicitis
Paralytic ileus and intestinal obstruction without hernia,Ileus
Inguinal or femoral hernia,I+F Hernia
Non-infective inflammatory bowel disease,IBD
Vascular disorders of intestine,Vasc Intest
Gall bladder and bile duct disease,Gall+Bile
Pancreatitis,Pancreatitis
Other digestive diseases,Oth Diges
Alzheimer's disease and other dementias,Alzh
Parkinson's disease,Parkins
Epilepsy,Epilepsy
Multiple sclerosis,MS
Migraine,Migraine
Tension-type headache,Headache
Other neurological disorders,Oth Neuro
Schizophrenia,Schizo
Alcohol use disorders,Alcohol
Opioid use disorders,Opioids
Cocaine use disorders,Cocaine
Amphetamine use disorders,Amphet
Cannabis use disorders,Cannabis
Other drug use disorders,Oth Drug
Major depressive disorder,MDD
Dysthymia,Dysthymia
Bipolar affective disorder,Bipolar
Anxiety disorders,Anxiety
Eating disorders,Eat Disorder
Autism,Autism
Asperger's syndrome,Asperger
Attention-deficit hyperactivity disorder,ADHD
Conduct disorder,Conduct
Idiopathic intellectual disability,Intellect
Other mental and behavioral disorders,Oth Mental
Diabetes mellitus,Diabetes
Acute glomerulonephritis,Glom
Chronic kidney disease due to diabetes mellitus,Diab CKD
Chronic kidney disease due to hypertension,HTN CKD
Chronic kidney disease unspecified,Oth CKD
"Tubulointerstitial nephritis, pyelonephritis, and urinary tract infections",Nephritis
Urolithiasis,Urolith
Benign prostatic hyperplasia,BPH
Male infertility,Infertility-Mal
Other urinary diseases,Oth Urin
Uterine fibroids,Fibroids
Polycystic ovarian syndrome,PCO
Female infertility,Infertility-Fem
Endometriosis,Endometr
Genital prolapse,Prolapse
Premenstrual syndrome,PMS
Other gynecological diseases,Oth Gynecol
Thalassemias,Thalass
Sickle cell disorders,Sickle
G6PD deficiency,G6PD
Other hemoglobinopathies and hemolytic anemias,Oth Hemog
"Other endocrine, nutritional, blood, and immune disorders",Oth Endo
Rheumatoid arthritis,R Arthritis
Osteoarthritis,Osteo
Low back pain,Low Back Pain
Neck pain,Neck Pain
Gout,Gout
Other musculoskeletal disorders,Oth Musculo
Neural tube defects,NTD
Congenital heart anomalies,C Heart
Cleft lip and cleft palate,Cleft
Down's syndrome,Down's
Other chromosomal abnormalities,Oth Chromo
Other congenital anomalies,Oth Congen
Eczema,Eczema
Psoriasis,Psoriasis
Cellulitis,Cellulitis
"Abscess, impetigo, and other bacterial skin diseases",Skin Bacterial
Scabies,Scabies
Fungal skin diseases,Skin Fungal
Viral skin diseases,Skin Viral
Acne vulgaris,Acne
Alopecia areata,Alopecia
Pruritus,Pruritus
Urticaria,Urticaria
Decubitus ulcer,Decubitus
Other skin and subcutaneous diseases,Oth Skin D
Glaucoma,Glaucoma
Cataracts,Cataract
Macular degeneration,Macular
Refraction and accommodation disorders,Refraction
Other hearing loss,Hearing
Other vision loss,Oth Vision
Other sense organ diseases,Oth Sense
Dental caries,D Caries
Periodontal disease,Periodontal
Edentulism,Edent
Sudden infant death syndrome,SIDS
Pedestrian injury by road vehicle,Pedestrian
Pedal cycle vehicle,Bicycle
Motorized vehicle with two wheels,2-Wheel
Motorized vehicle with three or more wheels,4-Wheel
Road injury other,Oth Road Inj
Other transport injury,Oth Trans
Falls,Fall
Drowning,Drown
"Fire, heat and hot substances",Fire
Poisonings,Poison
Mechanical forces (firearm),Mech Firearm
Mechanical forces (other),Oth Mech
Adverse effects of medical treatment,Med Treat
Animal contact (venomous),Animal (Venom)
Animal contact (non-venomous),Animal (Non)
Unintentional injuries not classified elsewhere,Oth Unintent
Self-harm,Self-harm
Assault by firearm,V Gun
Assault by sharp object,V Knife
Assault by other means,Oth Violence
Exposure to forces of nature,Disaster
Collective violence and legal intervention,War
Cause Name,cause_name
Medium Cause Name,cause_medium
Short Cause Name,cause_short
Region Name,region_name
Year,year
Age Group,age_name
Sex,sex_name
Number of Deaths,death_abs
Number of Deaths - 95% Uncertainty Interval,death_abs_ui
Death Percent of All Causes,death_pct
Death Percent of All Causes - 95% Uncertainty Interval,death_pct_ui
"Death Rate Per 100,000",death_rate
"Death Rate Per 100,000 - 95% Uncertainty Interval",death_rate_ui
Number of Years of Life Lost (YLL),YLL_abs
Number of Years of Life Lost (YLL) - 95% Uncertainty Interval,YLL_abs_ui
Years of Life Lost (YLL) Percent of All Causes,YLL_pct
Years of Life Lost (YLL) Percent of All Causes - 95% Uncertainty Interval,YLL_pct_ui
"YLL Rate Per 100,000",YLL_rate
"Years of Life Lost (YLL) Rate Per 100,000 - 95% Uncertainty Interval",YLL_rate_ui
Number of Years Lived with Disability (YLD),YLD_abs
Number of Years Lived with Disability (YLD) - 95% Uncertainty Interval,YLD_abs_ui
Years Lived with Disability (YLD) Percent of All Causes,YLD_pct
Years Lived with Disability (YLD) Percent of All Causes - 95% Uncertainty Interval,YLD_pct_ui
"YLD Rate Per 100,000",YLD_rate
"Years Lived with Disability (YLD) Rate Per 100,000 - 95% Uncertainty Interval",YLD_rate_ui
Number of Disability Adjusted Life Years (DALY),DALY_abs
Number of Disability Adjusted Life Years (DALY) - 95% Uncertainty Interval,DALY_abs_ui
Disability Adjusted Life Years (DALY) Percent of All Causes,DALY_pct
Disability Adjusted Life Years (DALY) Percent of All Causes - 95% Uncertainty Interval,DALY_pct_ui
"DALY Rate Per 100,000",DALY_rate
"Disability Adjusted Life Years (DALY) Rate Per 100,000 - 95% Uncertainty Interval",DALY_rate_ui
